id,name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
1,Joseph M. Acaba,2004,19,Active,5/17/1967,"Inglewood, CA",Male,University of California-Santa Barbara,2,3307,2,13,"STS-119 (Discovery), ISS-31/32 (Soyuz)"
2,Loren W. Acton,1985,10,Retired,03/07/1936,"Lewiston, MT",Male,Montana State University,1,190,0,0,STS 51-F (Challenger)
3,James C. Adamson,1984,10,Retired,03/03/1946,"Warsaw, NY",Male,US Military Academy,2,334,0,0,"STS-28 (Columbia), STS-43 (Atlantis)"
4,Thomas D. Akers,1987,12,Retired,5/20/1951,"St. Louis, MO",Male,University of Missouri-Rolla,4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-79 (Atlantis)"
5,Buzz Aldrin,1963,3,Retired,1/20/1930,"Montclair, NJ",Male,US Military Academy,2,289,2,8,"Gemini 12, Apollo 11"
6,Andrew M. Allen,1987,12,Retired,08/04/1955,"Philadelphia, PA",Male,Villanova University,3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (Columbia)"
7,Joseph P. Allen,1967,6,Retired,6/27/1937,"Crawsfordsville, IN",Male,DePauw University,2,313,2,12,"ST-5 (Columbia), STS 51-A (Discovery)"
8,Scott D. Altman,1995,15,Retired,8/15/1959,"Lincoln, IL",Male,University of Illinois,4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)"
9,William A. Anders,1963,3,Retired,10/17/1933,Hong Kong,Male,US Naval Academy,1,147,0,0,Apollo 8
10,Clayton C. Anderson,1998,17,Retired,2/23/1959,"Omaha, NE",Male,Hastings College,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)"
11,Michael P. Anderson,1995,15,Deceased,12/25/1959,"Plattsburgh, NY",Male,University of Washington,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)"
12,Dominic A. Antonelli,2000,18,Active,8/23/1967,"Detroit, MI",Male,MIT,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)"
13,Jerome Apt III ,1985,11,Retired,4/18/1949,"Springfield, MA",Male,Harvard University,4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (Endeavor), STS-79 (Atlantis)"
14,Lee J. Archambault,1998,17,Retired,8/25/1960,"Oak Park, IL",Male,University of Illinois-Urbana,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)"
15,Neil A. Armstrong,1962,2,Deceased,08/05/1930,"Wapakoneta, OH",Male,Purdue University,2,205,1,2,"Gemini 8, Apollo 11"
16,Richard R. Arnold II ,2004,19,Active,11/26/1963,"Cheverly, MD",Male,Frostburg State University,1,307,2,12,STS-119 (Discovery)
17,Jeffrey S. Ashby,1995,15,Retired,06/01/1954,"Dallas, TX",Male,University of Idaho,3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)"
18,Serena M. Aunon,2009,20,Active,04/09/1976,"Indianapolis, IN",Female,George Washington University,0,0,0,0,
19,James P. Bagian,1980,9,Retired,2/22/1952,"Philadelphia, PA",Male,Drexel University,2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)"
20,Ellen S. Baker,1984,10,Retired,4/27/1953,"Fayettesville, NC",Female,State University of New York-Buffalo,3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (Atlantis)"
21,Michael A. Baker,1985,11,Management,10/27/1953,"Memphis, TN",Male,University of Texas,4,965,0,0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)"
22,Michael R. Barratt,2000,18,Active,4/16/1959,"Vancouver, WA",Male,University of Washington,2,5075,1,5,"ISS-19/20 (Soyuz), STS-133 (Discovery)"
